name,level,session,dois
M TARINI,1,4,"10.1111/cgf.12697, 10.1111/1467-8659.00404, 10.1145/2766905, 10.1145/2897824.2925956, 10.1111/cgf.12330, 10.1016/j.cag.2004.11.012, 10.1145/2601097.2601179, 10.1145/3130800.3130825, 10.1145/1015706.1015810, 10.1145/3130800.3130845, 10.1109/TVCG.2011.28, 10.1016/j.cag.2016.07.005, 10.1111/j.1467-8659.2009.01610.x, 10.1109/TVCG.2010.136, 10.1007/s003710050197, 10.1145/3197517.3201389, 10.1016/j.gmod.2004.11.002, 10.1145/3072959.3073676, 10.1145/2809785, 10.1109/MCG.2012.92, 10.1109/TVCG.2006.115, 10.1145/3072959.3073635, 10.1111/cgf.12014, 10.1145/2070781.2024176, 10.1145/1015706.1015782, 10.1145/3130800.3130809, 10.1145/2897824.2925898, 10.1145/2816795.2818078, 10.1109/TVCG.2009.96, 10.1111/j.1467-8659.2005.00881.x, 10.1145/2070781.2024183, 10.1080/2151237X.2012.654054"
S SCHIFANO,2,1,"10.1109/MCSE.2006.9, 10.1109/MCSE.2008.153, 10.1109/MCSE.2009.11, 10.1002/cpe.4143, 10.1016/j.parco.2016.08.005, 10.1016/j.procs.2010.04.119, 10.1016/j.procs.2011.04.105, 10.3182/20130925-3-CZ-3023.00039, 10.1016/j.cpc.2007.09.006, 10.1155/2017/7206595, 10.1109/MCSE.2006.4, 10.1002/cpe.3862, 10.1016/j.procs.2014.05.004, 10.1016/j.cpc.2013.10.019, 10.1016/j.procs.2013.05.219"
S SCHIFANO,2,4,"10.1109/MCSE.2006.9, 10.1109/MCSE.2008.153, 10.1109/MCSE.2009.11, 10.1002/cpe.4143, 10.1016/j.parco.2016.08.005, 10.1016/j.procs.2010.04.119, 10.1016/j.procs.2011.04.105, 10.3182/20130925-3-CZ-3023.00039, 10.1016/j.cpc.2007.09.006, 10.1155/2017/7206595, 10.1109/MCSE.2006.4, 10.1002/cpe.3862, 10.1016/j.procs.2014.05.004, 10.1016/j.cpc.2013.10.019, 10.1016/j.procs.2013.05.219"
L ROSASCO,1,5,"10.1007/s10589-017-9962-1, 10.3389/frobt.2016.00035, 10.1016/j.jco.2006.07.001, 10.1007/s10851-017-0754-0, 10.1007/s10994-012-5282-y, 10.1007/s10589-013-9628-6, 10.1007/s10208-010-9064-2, 10.1155/2015/359590, 10.1016/j.patcog.2018.07.025, 10.1007/s10208-004-0134-1, 10.1007/s10208-009-9049-1, 10.1016/j.jco.2018.02.004, 10.1007/s10957-016-0893-2, 10.1016/j.tcs.2015.06.048, 10.1016/j.jco.2009.01.002, 10.1561/2200000036, 10.1162/089976604773135104, 10.1162/neco.2008.05-07-517"
A PASSARELLA,1,3,"10.1016/j.pmcj.2013.07.011, 10.1016/j.comcom.2015.09.004, 10.1016/j.osnem.2017.05.001, 10.1016/j.pmcj.2005.03.001, 10.1109/MCOM.2006.1668381, 10.1016/j.osnem.2018.07.001, 10.1016/j.pmcj.2017.07.009, 10.1016/j.comcom.2018.03.005, 10.3390/s18082611, 10.1016/j.comcom.2015.11.005, 10.1155/2007/62089, 10.1016/j.comcom.2015.11.007, 10.1016/j.pmcj.2018.09.004, 10.1109/TC.2014.2360544, 10.1016/j.pmcj.2008.04.003, 10.1016/j.pmcj.2014.01.004, 10.1109/TMC.2018.2824325, 10.1109/COMST.2014.2369742, 10.1016/j.comcom.2013.03.003, 10.1145/3149007, 10.1016/j.adhoc.2008.06.003, 10.1016/j.comcom.2009.11.016, 10.1016/j.comcom.2015.09.025, 10.1504/IJAACS.2008.019203, 10.1016/j.pmcj.2017.02.003, 10.1016/j.osnem.2017.04.001, 10.1108/17427370580000133, 10.1016/j.osnem.2017.11.002, 10.1016/j.procs.2014.10.042, 10.1016/j.socnet.2015.04.005, 10.1016/j.comcom.2012.08.003, 10.1016/j.comcom.2011.10.005, 10.1109/TPDS.2010.153, 10.1016/j.comcom.2010.05.004, 10.1016/j.pmcj.2012.07.006, 10.1016/j.pmcj.2017.07.014, 10.1016/j.comcom.2015.09.028, 10.1109/MCOM.2006.248176, 10.1016/j.pmcj.2014.05.005, 10.1016/j.pmcj.2011.10.001, 10.1016/j.procs.2010.04.265, 10.1016/j.jnca.2010.03.017, 10.1016/j.pmcj.2011.01.001, 10.1016/j.comnet.2009.09.001, 10.1109/LCOMM.2011.090911.111467, 10.1093/comjnl/bxn025, 10.1145/2518017.2518018, 10.1145/1394555.1394568, 10.1016/j.comcom.2015.09.027, 10.1145/2733379, 10.1109/MCOM.2010.5560597, 10.1016/j.pmcj.2017.06.006, 10.1016/j.pmcj.2007.03.001, 10.1007/s12083-015-0395-2, 10.1109/TMC.2014.2316506, 10.1007/s11276-006-0010-9, 10.1109/TMC.2012.213, 10.1016/j.comcom.2018.07.034, 10.1109/MCOM.2011.6094021, 10.1016/j.comnet.2004.03.009, 10.1016/S2468-6964(17)30045-9, 10.1016/j.comcom.2014.03.028, 10.1016/j.comcom.2010.01.013, 10.1111/jcc4.12193, 10.1016/S0166-5316(03)00066-X, 10.1145/2377677.2377775"
S CUOMO,2,5,"10.1007/s11042-017-4736-4, 10.1016/j.procs.2017.08.313, 10.1016/j.procs.2015.05.198, 10.1016/j.eswa.2017.02.034, 10.1016/j.procs.2017.08.315, 10.1109/TII.2018.2856097, 10.1155/2014/523862, 10.1016/j.jpdc.2017.06.020, 10.1504/IJGUC.2018.10012795, 10.1016/j.jcp.2015.01.003, 10.1016/j.jpdc.2017.10.021, 10.1016/j.jocs.2017.03.011, 10.1016/j.bspc.2016.02.007, 10.1002/cpe.4904, 10.1016/j.jnca.2018.04.016, 10.1007/s10766-017-0554-6, 10.1007/s10766-017-0538-6, 10.1007/s10766-017-0507-0, 10.1016/j.procs.2016.09.073, 10.1002/cpe.4476, 10.1002/cpe.4527, 10.1016/j.procs.2015.05.194, 10.1016/j.future.2018.11.015, 10.1016/j.jpdc.2017.06.022, 10.1504/IJCSE.2018.10012838, 10.1016/j.procs.2016.09.082, 10.1007/s10766-018-0565-y, 10.1016/j.procs.2015.05.220, 10.1109/ACCESS.2017.2780324, 10.1504/IJHPCN.2016.10007039, 10.1016/j.procs.2013.06.001, 10.1002/cpe.4101, 10.1016/j.amc.2017.08.001, 10.1007/s10766-017-0531-0, 10.1016/j.camwa.2007.10.002, 10.1007/s00500-017-2887-x, 10.1016/j.future.2018.08.047, 10.1016/j.procs.2016.09.076, 10.1016/j.procs.2016.09.071"
R PREVETE,2,3,"10.1007/s00422-010-0415-5, 10.1016/j.neunet.2015.08.003, 10.1142/S0129065715500173, 10.1177/1059712315609412, 10.1016/j.neucom.2014.08.066, 10.1080/09540091.2012.684670, 10.1016/j.cogsys.2010.07.005"
T D'ORAZIO,1,1,"10.1016/j.patcog.2010.03.009, 10.1109/TIM.2011.2150630, 10.1016/0167-8655(92)90070-G, 10.1016/j.patcog.2012.03.003, 10.1080/09528130110063100, 10.1016/0167-8655(95)00029-G, 10.1016/j.patcog.2007.01.018, 10.1016/j.imavis.2016.05.007, 10.1111/mice.12184, 10.1109/41.334582, 10.1016/j.imavis.2006.01.001, 10.1093/bioinformatics/9.6.701, 10.1142/S0218001415550010, 10.1016/S0031-3203(03)00228-0, 10.1109/TCSVT.2009.2026817, 10.1109/LES.2017.2755443, 10.1016/j.cviu.2008.01.010, 10.1109/TITS.2015.2459721, 10.1016/j.cviu.2017.01.002, 10.1142/S021800140500440X, 10.1080/0952813021000039430, 10.1142/S0218001410008081, 10.3390/s150202283, 10.1111/j.1468-0394.2010.00545.x, 10.3390/rs70403565"
T D'ORAZIO,1,4,"10.1016/j.patcog.2010.03.009, 10.1109/TIM.2011.2150630, 10.1016/0167-8655(92)90070-G, 10.1016/j.patcog.2012.03.003, 10.1080/09528130110063100, 10.1016/0167-8655(95)00029-G, 10.1016/j.patcog.2007.01.018, 10.1016/j.imavis.2016.05.007, 10.1111/mice.12184, 10.1109/41.334582, 10.1016/j.imavis.2006.01.001, 10.1093/bioinformatics/9.6.701, 10.1142/S0218001415550010, 10.1016/S0031-3203(03)00228-0, 10.1109/TCSVT.2009.2026817, 10.1109/LES.2017.2755443, 10.1016/j.cviu.2008.01.010, 10.1109/TITS.2015.2459721, 10.1016/j.cviu.2017.01.002, 10.1142/S021800140500440X, 10.1080/0952813021000039430, 10.1142/S0218001410008081, 10.3390/s150202283, 10.1111/j.1468-0394.2010.00545.x, 10.3390/rs70403565"
T D'ORAZIO,2,1,"10.1016/j.patcog.2010.03.009, 10.1109/TIM.2011.2150630, 10.1016/0167-8655(92)90070-G, 10.1016/j.patcog.2012.03.003, 10.1080/09528130110063100, 10.1016/0167-8655(95)00029-G, 10.1016/j.patcog.2007.01.018, 10.1016/j.imavis.2016.05.007, 10.1111/mice.12184, 10.1109/41.334582, 10.1016/j.imavis.2006.01.001, 10.1093/bioinformatics/9.6.701, 10.1142/S0218001415550010, 10.1016/S0031-3203(03)00228-0, 10.1109/TCSVT.2009.2026817, 10.1109/LES.2017.2755443, 10.1016/j.cviu.2008.01.010, 10.1109/TITS.2015.2459721, 10.1016/j.cviu.2017.01.002, 10.1142/S021800140500440X, 10.1080/0952813021000039430, 10.1142/S0218001410008081, 10.3390/s150202283, 10.1111/j.1468-0394.2010.00545.x, 10.3390/rs70403565"
