name,level,session,dois
A BARLA,1,4,"10.1109/TIP.2004.840701, 10.1007/s10994-012-5282-y, 10.3389/fdigh.2018.00006, 10.1162/NECO_a_00672, 10.1093/bib/bbn008, 10.1093/bioinformatics/btm550, 10.1186/1751-0473-8-2"
F FALCHI,2,4,"10.1016/j.future.2008.02.007, 10.1016/j.ipm.2007.03.002, 10.1145/2964911, 10.1016/j.eswa.2016.10.055, 10.1007/s11042-009-0339-z, 10.1007/s11042-017-4450-2, 10.1016/j.is.2016.10.008, 10.1007/s10791-017-9318-6, 10.1016/j.ipm.2006.04.002, 10.1016/j.is.2015.01.010, 10.1145/2724727, 10.1016/j.ipm.2007.07.002, 10.1016/j.future.2007.07.012, 10.1016/j.ipm.2010.12.006, 10.1109/MMUL.2008.6"
M COCCOLI,1,1,"10.1016/j.jvlc.2014.09.008, 10.1109/100.637804, 10.1504/IJCSE.2014.060717, 10.1016/j.jvlc.2015.10.014, 10.1016/j.jvlc.2014.09.007, 10.1016/j.jvlc.2016.03.002, 10.1080/00207729808929540"
M COCCOLI,2,1,"10.1016/j.jvlc.2014.09.008, 10.1109/100.637804, 10.1504/IJCSE.2014.060717, 10.1016/j.jvlc.2015.10.014, 10.1016/j.jvlc.2014.09.007, 10.1016/j.jvlc.2016.03.002, 10.1080/00207729808929540"
C SPAMPINATO,2,2,"10.1177/1094342014567907, 10.1007/s00530-015-0491-4, 10.1109/TIM.2011.2159315, 10.1016/j.media.2016.10.010, 10.1007/s00138-013-0509-x, 10.1016/j.cviu.2014.06.005, 10.1016/j.cviu.2013.12.003, 10.1016/j.cmpb.2011.10.008, 10.1016/j.patrec.2016.07.001, 10.1007/s11042-014-1853-1, 10.1016/j.ecoinf.2014.03.001, 10.1016/j.ecoinf.2013.10.006, 10.1016/j.cmpb.2015.10.012, 10.1109/TITS.2011.2159266, 10.1093/bib/bbr018, 10.1109/TIM.2010.2058210, 10.1007/s11042-015-2601-x, 10.1109/TITB.2008.2007755, 10.1007/s00530-016-0528-3, 10.1186/1687-5281-2015-1, 10.1016/j.cviu.2018.03.005, 10.1109/TNN.2008.2000392, 10.1007/s11042-013-1419-7, 10.1007/s11042-012-1101-5, 10.1093/bib/bbt040, 10.1109/TPAMI.2016.2610973, 10.1002/cpe.3130"
L COPPOLINO,2,1,"10.1016/j.ress.2018.04.009, 10.1016/j.ijcip.2014.01.003, 10.1016/j.sysarc.2015.11.010, 10.1186/s12911-018-0664-0, 10.1016/j.sysarc.2008.02.005, 10.1007/s12652-015-0276-9, 10.1504/IJCCBS.2012.050305, 10.1155/2015/980629, 10.4236/jsea.2011.41001, 10.1109/JPROC.2005.862438, 10.1504/IJCSE.2015.071359, 10.1504/IJCSE.2017.10003825, 10.1016/j.compeleceng.2016.03.004, 10.1016/j.jnca.2018.05.012"
L CUTILLO,2,2,"10.1016/j.csda.2017.10.006, 10.1016/j.csda.2008.04.015, 10.1093/bioinformatics/btu058, 10.1186/1471-2105-9-415, 10.1016/j.csda.2017.03.012"
V SCARANO,1,1,"10.1002/cpe.1243, 10.1109/12.628396, 10.1177/0037549713489594, 10.1016/j.jvlc.2006.07.001, 10.1109/71.780869, 10.1007/s00779-009-0232-9, 10.1016/j.comnet.2005.10.019, 10.1016/j.comnet.2013.06.013, 10.1109/71.995820, 10.1016/j.comnet.2017.07.003, 10.1007/s11390-012-1223-2, 10.1142/S0129626495000461, 10.1016/j.simpat.2017.12.005, 10.1109/MMUL.2002.1022857, 10.1093/bioinformatics/btr484, 10.1007/s00224-007-9074-x, 10.1142/S0129626493000435, 10.1006/jpdc.1998.1426, 10.1016/j.entcs.2005.02.019, 10.1109/TII.2016.2521613, 10.1109/TLT.2014.2365026, 10.1093/bioinformatics/btu837, 10.1109/12.376173, 10.1007/s10209-007-0091-y, 10.1002/net.20253, 10.1142/S0129626495000059, 10.1016/j.simpat.2018.09.002, 10.1007/s11280-006-8559-x, 10.1145/3064644, 10.1109/TPDS.2007.1024"
M MONGA,1,1,"10.1109/MSP.2007.31, 10.5381/jot.2004.3.2.a5, 10.1145/1082983.1082996, 10.1016/j.entcs.2005.01.013, 10.1002/cpe.3652, 10.1016/j.peva.2006.04.001, 10.1109/TDSC.2013.30, 10.1109/TSMCA.2006.883165, 10.1145/2602490, 10.1016/j.cose.2010.01.003, 10.1016/j.infsof.2008.01.008"
F ZANZOTTO,1,1,"10.3233/FI-2011-400, 10.1145/2885501, 10.1162/COLI_a_00215, 10.1017/S1351324909990143, 10.2200/S00509ED1V01Y201305HLT023, 10.1017/S1351324902002875, 10.1017/S1351324910000197, 10.1109/MIS.2003.1179195"
F ZANZOTTO,1,4,"10.3233/FI-2011-400, 10.1145/2885501, 10.1162/COLI_a_00215, 10.1017/S1351324909990143, 10.2200/S00509ED1V01Y201305HLT023, 10.1017/S1351324902002875, 10.1017/S1351324910000197, 10.1109/MIS.2003.1179195"
C SANTORO,2,4,"10.1145/1015864.1015891, 10.1145/3057861, 10.1007/s11036-018-1069-0, 10.1016/S0953-5438(03)00013-4, 10.1504/IJWET.2008.018099, 10.1016/j.jvlc.2012.10.005, 10.1109/TSE.2002.1027801, 10.1080/00207720210133688, 10.1016/j.ress.2006.01.015, 10.1145/1614390.1614394, 10.1145/331490.331492, 10.1016/j.intcom.2009.06.001, 10.1109/TSE.2004.40, 10.1093/comjnl/bxp014, 10.1016/j.jss.2011.05.025, 10.1006/ijhc.2001.0523, 10.1080/0144929X.2011.563795, 10.1093/comjnl/46.4.340"
A LANZI,2,1,"10.1016/j.patrec.2008.06.016, 10.1016/j.cose.2015.03.007, 10.1016/j.jisa.2014.03.002, 10.3233/JCS-15773, 10.1145/3178370, 10.1145/3172869"
M VIVIANI,2,4,"10.1016/j.fss.2016.12.018, 10.2200/S00549ED1V01Y201311SPT008, 10.1002/widm.1209, 10.1016/j.ins.2016.07.072, 10.1007/s11280-009-0074-4, 10.1002/int.21844, 10.4018/irmj.2012070103, 10.1016/j.eswa.2011.11.071, 10.1016/j.entcs.2005.09.036, 10.1109/TKDE.2007.23, 10.1007/s10844-017-0488-x"
S BENINI,2,2,"10.1109/TCSVT.2012.2211935, 10.1007/s11760-009-0151-2, 10.1155/2010/709161, 10.1016/j.neuroimage.2017.09.032, 10.1007/s11042-009-0375-8, 10.4304/jmm.5.2.142-150, 10.1145/3103241, 10.1109/TMM.2011.2163058, 10.1007/s00371-014-0921-x, 10.2352/ISSN.2470-1173.2017.14.HVEI-117, 10.1007/s11042-009-0449-7, 10.1007/s11042-011-0916-9, 10.1007/s11042-016-3339-9, 10.1016/j.imavis.2018.02.001"
S BENINI,2,5,"10.1109/TCSVT.2012.2211935, 10.1007/s11760-009-0151-2, 10.1155/2010/709161, 10.1016/j.neuroimage.2017.09.032, 10.1007/s11042-009-0375-8, 10.4304/jmm.5.2.142-150, 10.1145/3103241, 10.1109/TMM.2011.2163058, 10.1007/s00371-014-0921-x, 10.2352/ISSN.2470-1173.2017.14.HVEI-117, 10.1007/s11042-009-0449-7, 10.1007/s11042-011-0916-9, 10.1007/s11042-016-3339-9, 10.1016/j.imavis.2018.02.001"
L CITTADINI,2,4,"10.1109/JSAC.2010.101002, 10.1145/2333112.2333121, 10.1109/TNET.2012.2217506, 10.1109/TNSM.2011.110311.100109, 10.1109/TNET.2011.2106798, 10.1109/TNET.2017.2723461, 10.1109/TNET.2013.2296330, 10.1109/TNET.2016.2642586"
F BELLOTTI,2,1,"10.1016/j.entcom.2014.07.003, 10.1155/2009/231863, 10.1016/S0167-739X(00)00097-2, 10.1109/TITS.2018.2791643, 10.1145/1541895.1541903, 10.1007/s10111-004-0163-1, 10.1016/S0097-8493(00)00129-1, 10.1016/j.compedu.2010.11.013, 10.1002/spe.570, 10.1109/TCIAIG.2013.2260340, 10.1109/TITS.2015.2453116, 10.1016/j.procs.2012.10.069, 10.1109/TITS.2017.2772459, 10.1007/s007790200016, 10.1109/TITS.2010.2048751, 10.1016/j.entcom.2014.07.001, 10.1016/j.cag.2011.07.004, 10.1155/2013/120791, 10.1007/s10111-004-0168-9, 10.1016/S1389-1286(01)00180-3, 10.3991/ijet.v3i4.631, 10.1016/j.entcom.2016.11.002, 10.1016/j.procs.2012.10.058, 10.1109/TCIAIG.2009.2035923, 10.1016/j.procs.2012.10.051, 10.1002/spe.864, 10.1109/MPRV.2002.1012335, 10.1016/S0097-8493(03)00105-5, 10.1002/spe.365, 10.1111/j.1467-8535.2009.01039.x, 10.1016/j.chb.2014.11.082, 10.1016/j.entcom.2014.11.001, 10.1155/2013/136864, 10.1109/MC.2003.1231194, 10.4108/sg.1.3.e4, 10.1145/2460376.2460377, 10.1145/2399180.2399185, 10.1145/2027456.2027462, 10.3991/ijet.v5s3.1500, 10.1016/j.entcom.2010.12.005, 10.1016/j.compedu.2015.03.023, 10.1111/bjet.12113"
S LA TORRE,1,5,"10.1142/S0129054116400074, 10.1016/j.entcs.2004.02.010, 10.1016/S0020-0190(03)00281-3, 10.1016/j.tcs.2013.05.029, 10.1016/j.tcs.2013.08.021, 10.1051/ita:2001122, 10.3233/FI-1996-27102, 10.1016/j.tcs.2005.11.017, 10.1016/j.ic.2016.07.007, 10.1051/ita:2000130, 10.4204/EPTCS.161.22, 10.1023/B:FORM.0000026092.11691.96, 10.1007/s002360100067, 10.1016/j.ic.2008.03.017, 10.3233/FI-1998-341204, 10.1016/S0304-3975(02)00611-4, 10.1016/j.tcs.2008.06.012, 10.1007/s10703-009-0074-0, 10.1051/ita:2006002, 10.1145/377978.377990, 10.1016/j.tcs.2014.11.019, 10.1016/j.tcs.2004.10.027, 10.4204/EPTCS.87.4, 10.1142/S0129054107004875, 10.1007/s10703-007-0040-7, 10.1145/963927.963928, 10.1016/j.tcs.2003.10.038, 10.1016/S1571-0661(04)80884-3"
N DESSÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â¦ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢,2,1,"10.4018/jitr.2015040102, 10.1016/j.future.2015.04.012, 10.1016/j.eswa.2015.01.069, 10.1016/j.patrec.2013.05.011, 10.1016/j.future.2016.07.004, 10.1016/j.inffus.2016.10.001, 10.1016/j.procs.2016.09.043, 10.4018/jwp.2012040103, 10.4018/jwp.2011070102, 10.1016/j.future.2010.07.003"
G ACAMPORA,1,4,"10.1109/MCI.2016.2602068, 10.1109/TSMCA.2011.2109376, 10.1016/j.ins.2013.06.052, 10.1016/j.neucom.2013.01.046, 10.1007/s00500-011-0791-3, 10.1016/j.knosys.2018.02.022, 10.1007/s11761-011-0078-7, 10.1111/j.1467-8640.2010.00367.x, 10.1016/j.asoc.2016.02.024, 10.1109/TEVC.2014.2366871, 10.1109/TFUZZ.2015.2426311, 10.1007/s00500-012-0951-0, 10.1002/int.20449, 10.1109/JPROC.2013.2262913, 10.1002/int.20517, 10.1109/ACCESS.2018.2872777, 10.1109/MCI.2017.2742841, 10.1007/s00500-011-0792-2, 10.1109/TITB.2010.2043678, 10.1109/ACCESS.2018.2885640, 10.1109/TCDS.2017.2670787, 10.1016/j.ins.2007.08.023, 10.1109/TFUZZ.2011.2159799, 10.1109/TII.2005.844431, 10.1007/s00521-009-0273-z, 10.1007/s12652-010-0011-5, 10.1016/j.knosys.2012.04.012, 10.1145/1740600.1740604, 10.1016/j.jvlc.2011.02.005, 10.1016/j.ijar.2014.02.003, 10.1016/j.ins.2015.03.021, 10.1109/MCI.2010.936306, 10.1007/s00500-011-0785-1, 10.1016/j.ins.2015.11.015, 10.1109/TII.2011.2166782, 10.1109/MCI.2017.2670420"
M PRADELLA,1,1,"10.1016/j.tcs.2005.03.041, 10.4204/EPTCS.252.11, 10.1016/j.patcog.2007.06.018, 10.1016/j.cosrev.2017.12.001, 10.1145/1459352.1459358, 10.1016/j.jal.2014.07.005, 10.1016/j.ipl.2007.09.002, 10.1016/j.tcs.2006.01.038, 10.1016/j.tcs.2016.05.003, 10.1051/ita/2011016, 10.1016/j.scico.2014.11.016, 10.1016/j.ipl.2013.01.008, 10.1016/j.ic.2011.07.001, 10.1145/2491465.2491466, 10.1145/2693208.2693232, 10.4204/EPTCS.277.12, 10.1145/941566.941567, 10.1145/2491509.2491514, 10.1109/TSE.2006.50, 10.1016/j.jss.2012.03.024, 10.1137/140978818, 10.1016/S0096-0551(01)00004-2, 10.1016/j.scico.2015.09.002"
D PORELLO,2,5,"10.3233/FI-2018-1648, 10.1093/jigpal/jzw026, 10.1007/s11229-009-9568-y, 10.1080/11663081.2015.1080422, 10.1093/logcom/exs056, 10.3233/AO-180193, 10.1080/11663081.2017.1368846, 10.1613/jair.3708"
P DI SANZO,2,5,"10.1016/j.simpat.2015.05.011, 10.1016/j.jpdc.2017.06.001, 10.1109/TPDS.2017.2740285, 10.1016/j.peva.2011.05.002"
A MICHELI,1,1,"10.1021/ci060104e, 10.1016/j.neucom.2004.01.008, 10.1016/j.neucom.2016.12.089, 10.1016/j.neucom.2012.08.017, 10.1007/s40860-017-0042-1, 10.1109/TNNLS.2012.2228226, 10.1016/j.neucom.2017.11.073, 10.1016/j.neunet.2018.08.002, 10.1109/TNNLS.2018.2884305, 10.1016/j.engappai.2017.08.018, 10.1016/j.engappai.2015.07.004, 10.1109/TNNLS.2012.2222044, 10.3233/IA-130050, 10.1016/j.neucom.2013.01.005, 10.1016/j.neunet.2004.06.009, 10.1023/A:1008368105614, 10.1016/j.neucom.2004.11.013, 10.1021/ci9903399, 10.3233/AIS-160372, 10.3390/ijgi2040978, 10.1016/j.neucom.2012.12.044, 10.1109/TNNLS.2017.2785292, 10.1080/08839514.2017.1378162, 10.3182/20120905-3-HR-2030.00178, 10.1162/0899766053491878, 10.1016/j.neunet.2011.02.002, 10.1016/j.artmed.2008.08.007, 10.1109/TNN.2008.2010350, 10.1109/TNN.2004.837783, 10.1016/j.neucom.2015.02.089, 10.1007/s10846-015-0178-2, 10.1007/s12559-017-9461-9, 10.1007/s00521-013-1364-4"
G FRANCO,1,5,"10.1016/j.jlap.2007.07.003, 10.1016/j.entcs.2007.05.010, 10.1007/s11047-010-9199-8, 10.1007/s11047-009-9121-4, 10.1007/s00500-004-0441-0, 10.1007/s11047-015-9498-1, 10.1007/s11047-014-9437-6, 10.1016/j.tcs.2008.04.013, 10.1016/j.biosystems.2007.02.010, 10.1007/s11047-010-9183-3, 10.1007/s11047-010-9203-3, 10.1007/s11047-010-9200-6"
A DE BONIS,1,1,"10.1007/s11083-007-9067-z, 10.1023/B:ELEC.0000045976.24984.48, 10.1016/0166-218X(94)00010-B, 10.1007/s10878-007-9085-1, 10.1137/S0097539703428002, 10.1109/TIT.2017.2750178, 10.1016/S0304-3975(03)00281-0, 10.1016/S0020-0255(96)00155-7, 10.1016/S0020-0190(98)00088-X, 10.1016/S0304-3975(00)00037-2, 10.1007/s10878-015-9949-8, 10.1016/S0166-218X(98)00025-0, 10.1109/TIT.2006.881740, 10.1007/s00224-017-9782-9, 10.1089/cmb.2010.0030, 10.1016/j.jcta.2005.01.002, 10.1016/j.tcs.2003.12.018"
C PERRA,2,2,"10.1016/j.image.2004.04.003, 10.1109/6046.944476, 10.1007/s11042-018-5615-3, 10.1016/j.image.2012.01.014, 10.1155/2009/496934, 10.1109/TBC.2017.2781125, 10.1109/TBC.2018.2822869, 10.1002/ett.4460120307, 10.1109/49.848260"
G ATTARDI,2,5,"10.3233/IA-150076, 10.1109/MS.2017.4121207"
F MAROZZO,2,5,"10.1007/s13278-018-0547-5, 10.1145/2888402, 10.1109/TSC.2016.2589243, 10.1016/j.jcss.2011.12.021, 10.1109/TPDS.2016.2565480, 10.1007/s13278-017-0479-5, 10.1002/cpe.4229, 10.1002/cpe.3563, 10.1007/s10723-013-9272-5, 10.1145/3154411, 10.1007/s11227-016-1678-y, 10.1016/j.osnem.2017.10.002"
A MAGI,2,1,"10.1093/bib/bbx062, 10.1093/bioinformatics/btr707, 10.1186/s12859-017-1734-5, 10.1093/bib/bbw077, 10.1093/bioinformatics/btu401, 10.1093/bioinformatics/bts617, 10.1093/bioinformatics/bti750"
I MALAVOLTA,2,3,"10.1007/s10270-010-0170-z, 10.1109/TSE.2012.74, 10.1145/3041765.3041773, 10.1109/MS.2017.1, 10.1109/ACCESS.2016.2613642, 10.5381/jot.2012.11.3.a3, 10.1109/TSE.2009.51, 10.1109/MS.2014.28, 10.1109/TSE.2017.2755039"
P NAPOLETANO,2,1,"10.1016/j.compbiomed.2005.10.002, 10.1016/j.compind.2017.01.001, 10.1109/LGRS.2015.2476365, 10.1016/j.cviu.2018.09.001, 10.1007/s11760-017-1166-8, 10.1016/j.chb.2013.07.043, 10.1109/TIP.2015.2431438, 10.1109/ACCESS.2018.2877890, 10.1109/TCSVT.2008.2005798, 10.1117/1.JEI.27.1.011002, 10.1016/j.cviu.2014.06.015, 10.3390/s18010209, 10.1002/asi.23331, 10.1142/S021800140800665X, 10.1142/S0218001408006533, 10.1016/j.ipm.2014.07.004, 10.1080/14626260701252442, 10.3390/jimaging3030033, 10.1142/S0218001406004995, 10.1007/s12652-015-0337-0, 10.1109/JBHI.2016.2636441"
M NAPPI,1,1,"10.1109/MCC.2018.1081072, 10.1016/j.jvlc.2015.10.010, 10.1016/j.patcog.2015.08.017, 10.1016/j.patrec.2012.02.005, 10.1007/s11760-011-0244-6, 10.1016/j.patrec.2016.12.013, 10.1007/s12652-012-0160-9, 10.1016/j.imavis.2018.05.001, 10.1016/j.patrec.2016.11.002, 10.1109/MCC.2018.043221012, 10.1109/MCC.2018.053711670, 10.1016/j.patrec.2015.04.001, 10.1016/j.patrec.2018.05.022, 10.1016/j.patcog.2011.12.005, 10.1142/S0218001414600039, 10.1016/j.patrec.2015.02.009, 10.1016/j.imavis.2013.12.014, 10.1007/s11042-016-3551-7, 10.1109/MCC.2017.3791012, 10.1016/j.ins.2016.08.063, 10.1142/S0218001498000397, 10.1016/j.patrec.2011.09.010, 10.1007/s11760-013-0451-4, 10.1109/MIS.2018.033001416, 10.1007/s10278-004-1025-3, 10.1109/26.623074, 10.1109/TSMCC.2010.2060326, 10.1016/j.cose.2017.11.017, 10.1109/TIP.2003.811041, 10.1016/j.cviu.2016.09.004, 10.1016/j.jvlc.2009.07.001, 10.1007/s12652-010-0036-9, 10.1016/S0165-1684(97)00164-3, 10.1016/j.patcog.2014.10.004, 10.1109/TSMC.2014.2337851, 10.1016/j.imavis.2003.07.007, 10.1016/S0262-8856(98)00186-3, 10.1016/j.patrec.2015.09.009, 10.1006/jvlc.2000.0171, 10.1016/j.imavis.2006.02.023, 10.1016/j.patcog.2017.08.028, 10.1109/TSMCA.2009.2033031, 10.1142/S0218194002001013, 10.1016/S0262-8856(98)00153-X, 10.1016/S0262-8856(98)00084-5, 10.1007/s11042-016-4085-8, 10.1016/j.imavis.2017.01.008, 10.1109/TSMCA.2012.2192427, 10.1016/j.patrec.2015.08.018, 10.1016/j.patcog.2014.02.017, 10.1016/j.jvlc.2009.01.003, 10.1016/j.patrec.2017.04.006, 10.1007/s11042-016-3796-1, 10.1016/j.jvlc.2009.01.007, 10.1142/S0218194007003379, 10.1016/j.jvlc.2003.11.004, 10.1007/s12652-010-0035-x, 10.1109/TIP.2005.860334, 10.1016/S0167-8655(97)00097-4, 10.1016/j.imavis.2016.08.012, 10.1016/j.jvlc.2009.07.003, 10.1109/83.846243, 10.1016/j.patrec.2012.08.001, 10.1016/j.patrec.2006.12.018, 10.1007/s11042-012-1279-6, 10.1109/MCOM.2017.1700342"
M REBAUDENGO,1,4,"10.3390/s16050710, 10.1109/TC.2006.15, 10.1016/j.mcm.2013.01.011, 10.1016/j.jnca.2010.04.007, 10.1109/TII.2011.2176742, 10.3390/cryptography2040040, 10.1016/j.microrel.2016.02.011, 10.1109/TPDS.2012.208, 10.1109/TASE.2012.2218101, 10.1023/A:1025130131636, 10.1109/TIE.2009.2019569, 10.1023/B:JETT.0000039610.30724.b2, 10.3390/s16020199, 10.1145/544536.544538, 10.1186/1687-3963-2013-10, 10.1109/JIOT.2016.2599641, 10.1023/A:1015079004512, 10.1109/TII.2013.2288063, 10.3233/JCM-180806, 10.1109/TIFS.2016.2601061, 10.1016/j.compind.2018.03.031, 10.1007/s10836-007-5014-6, 10.1002/ett.2556, 10.1002/dac.3109, 10.1007/s11276-013-0611-z, 10.1007/s11036-009-0209-y, 10.1023/B:JETT.0000009315.57771.94, 10.1504/IJAHUC.2016.10001802, 10.4018/japuc.2009040104, 10.1049/iet-cdt.2008.0122, 10.1145/296333.296351, 10.1016/S0026-2692(02)00127-1, 10.1109/43.511573, 10.1109/43.511578"
M FURINI,1,3,"10.1007/s11042-009-0307-7, 10.1109/6046.909592, 10.1007/s11042-012-1318-3, 10.1109/TCE.2008.4560123, 10.1016/j.entcom.2017.05.002, 10.1016/j.entcom.2015.08.002, 10.1007/s11042-007-0175-y, 10.1155/2011/706164, 10.1155/2014/678165, 10.1007/s11042-007-0183-y, 10.1007/s00779-018-1142-5, 10.1145/1721654.1721692, 10.1145/1371216.1371222, 10.1109/TIE.2002.804969, 10.1145/1146816.1146825, 10.1109/MCOM.2005.1453428, 10.1007/s11042-007-0158-z, 10.1007/s11042-016-4282-5, 10.1007/s11042-014-2151-7, 10.1007/s11036-017-0835-8, 10.1155/2011/857371"
M FURINI,2,1,"10.1007/s11042-009-0307-7, 10.1109/6046.909592, 10.1007/s11042-012-1318-3, 10.1109/TCE.2008.4560123, 10.1016/j.entcom.2017.05.002, 10.1016/j.entcom.2015.08.002, 10.1007/s11042-007-0175-y, 10.1155/2011/706164, 10.1155/2014/678165, 10.1007/s11042-007-0183-y, 10.1007/s00779-018-1142-5, 10.1145/1721654.1721692, 10.1145/1371216.1371222, 10.1109/TIE.2002.804969, 10.1145/1146816.1146825, 10.1109/MCOM.2005.1453428, 10.1007/s11042-007-0158-z, 10.1007/s11042-016-4282-5, 10.1007/s11042-014-2151-7, 10.1007/s11036-017-0835-8, 10.1155/2011/857371"
L PULINA,1,1,"10.3233/AIC-2009-0468, 10.3233/FI-2010-312, 10.1007/s10472-011-9243-0, 10.3233/FI-2016-1445, 10.3233/AIC-2012-0525, 10.1007/s10601-018-9293-6, 10.1017/S1471068413000094, 10.3233/AIC-2010-0471, 10.3233/IA-140064, 10.3233/AIC-2012-0527, 10.3233/AIC-150689, 10.1007/s10601-008-9051-2, 10.1007/s10489-017-0999-8, 10.1093/logcom/ext068"
L PULINA,1,5,"10.3233/AIC-2009-0468, 10.3233/FI-2010-312, 10.1007/s10472-011-9243-0, 10.3233/FI-2016-1445, 10.3233/AIC-2012-0525, 10.1007/s10601-018-9293-6, 10.1017/S1471068413000094, 10.3233/AIC-2010-0471, 10.3233/IA-140064, 10.3233/AIC-2012-0527, 10.3233/AIC-150689, 10.1007/s10601-008-9051-2, 10.1007/s10489-017-0999-8, 10.1093/logcom/ext068"
D PIANINI,2,1,"10.1057/jos.2012.27, 10.1109/MC.2015.261, 10.1111/exsy.12273, 10.1145/3105758, 10.1017/S0269888916000199, 10.1016/j.pmcj.2014.12.002, 10.1016/j.scico.2015.06.003, 10.1016/j.future.2018.09.005, 10.1145/3177774, 10.1504/IJAOSE.2017.10008554"
D PIANINI,2,5,"10.1057/jos.2012.27, 10.1109/MC.2015.261, 10.1111/exsy.12273, 10.1145/3105758, 10.1017/S0269888916000199, 10.1016/j.pmcj.2014.12.002, 10.1016/j.scico.2015.06.003, 10.1016/j.future.2018.09.005, 10.1145/3177774, 10.1504/IJAOSE.2017.10008554"
M ATZORI,2,5,"10.3389/fnbot.2016.00009, 10.3389/fnbot.2018.00057"
G DESOLDA,2,5,"10.1016/j.jvlc.2017.08.004, 10.1145/3057859, 10.1145/2682623, 10.1016/j.ijhcs.2017.12.002, 10.1016/j.jvlc.2014.01.003, 10.1016/j.ijhcs.2018.08.006, 10.1016/j.jvlc.2015.10.020, 10.1016/j.jvlc.2014.10.018"
S CONSOLI,2,5,"10.1016/j.bdr.2016.10.001, 10.1007/s10288-011-0187-3, 10.3233/SW-160221, 10.1016/j.endm.2014.11.003, 10.1007/s12559-014-9302-z, 10.1016/j.knosys.2016.05.014, 10.1007/s10479-008-0507-y, 10.1007/s11047-009-9137-9, 10.3233/IDA-160813, 10.1111/itor.12240, 10.1111/itor.12217, 10.1109/TKDE.2009.188, 10.1016/j.endm.2014.11.005, 10.1016/j.ejor.2008.03.014, 10.1016/j.asoc.2014.12.020, 10.1016/j.endm.2013.05.118, 10.1016/j.endm.2012.10.011"
S BIANCO,2,1,"10.1109/TEVC.2017.2694160, 10.1016/j.cviu.2016.01.003, 10.3390/jimaging4080098, 10.1109/TIP.2017.2713044, 10.1007/s11760-017-1166-8, 10.1007/s10851-014-0496-1, 10.1109/TIP.2008.2006661, 10.1109/TIP.2012.2211029, 10.1109/TCE.2007.4341581, 10.1016/j.dsp.2015.06.001, 10.1117/1.2982004, 10.1109/ACCESS.2018.2877890, 10.1016/j.cviu.2014.06.015, 10.1155/2017/4253167, 10.1016/j.neucom.2017.03.051, 10.1117/1.JEI.25.6.063002, 10.1016/j.patrec.2017.03.006, 10.1117/1.JEI.27.5.051221, 10.1109/TIP.2015.2467209, 10.1177/1473871617700682, 10.1016/j.patcog.2009.08.007, 10.1117/1.2921013, 10.3390/jimaging3030033, 10.1145/2801126, 10.1142/S0218127408021890, 10.1117/1.JEI.25.6.063020, 10.3390/s18082666, 10.1109/TPAMI.2013.2297710, 10.1117/1.JEI.27.1.011004, 10.1117/1.JEI.22.2.023014"
D TOSI,2,1,"10.1007/s41060-017-0061-2, 10.1109/MCC.2018.064181121, 10.1145/1082983.1083088, 10.1016/j.jss.2013.06.064, 10.4018/jossp.2011040101, 10.1145/2522920.2522921, 10.1504/IJAC.2009.024500, 10.1016/j.infsof.2015.01.007"
R GIORGI,1,3,"10.1016/j.micpro.2018.08.005, 10.1016/j.micpro.2017.05.018, 10.1145/563647.563651, 10.1007/s10766-014-0312-y, 10.1109/4434.641627, 10.1016/j.micpro.2014.04.001, 10.1109/12.947003, 10.1109/71.780868, 10.1109/TC.2007.70832, 10.1145/1147349.1147352, 10.1016/j.procs.2011.09.081, 10.1016/j.jpdc.2004.10.003, 10.1016/j.future.2014.12.014, 10.1016/j.future.2015.07.015, 10.1145/1024295.1024299, 10.1504/IJHPCN.2004.007562"
F ARCELLI FONTANA,1,1,"10.1016/S0167-6423(97)00011-7, 10.5381/jot.2012.11.2.a5, 10.5381/jot.2011.10.1.a4, 10.1016/j.jss.2015.01.037, 10.1016/j.jss.2018.05.057, 10.1016/j.jss.2011.07.006, 10.1016/j.ins.2010.12.002, 10.1007/s00500-002-0178-6, 10.1002/smr.547, 10.1007/s10664-015-9378-4, 10.1016/S0140-3664(98)00154-6, 10.1016/j.jss.2018.07.010, 10.1002/smr.1656, 10.1023/A:1013981402749, 10.1109/ACCESS.2017.2733518, 10.1142/S0218194017500413, 10.1093/comjnl/42.7.582, 10.1007/s00354-014-0407-4, 10.1002/int.10067, 10.1016/j.knosys.2017.04.014, 10.1016/S0306-4573(00)00025-X, 10.1145/3127360.3127372, 10.1016/j.knosys.2005.05.004"
