name,articles,citations,hindex
P GARZA,29,113,6
R GENTILINI,10,44,2
R GAETA,34,114,6
V GERVASI,22,225,7
F ISGRÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢,9,69,4
A LUMINI,98,1306,18
C LUCCHESE,23,127,6
C LUCCHESE,23,127,6
C LUCCHESE,23,127,6
F LUCCIO,18,38,3
F LUCCIO,18,38,3
M LOMBARDI,15,52,4
M LORETI,29,82,5
M LORETI,29,82,5
R LANCELLOTTI,17,34,4
A MONTRESOR,24,727,9
A MALIZIA,22,109,6
A MALIZIA,22,109,6
D MERLINI,26,43,3
D MERLINI,26,43,3
G MANCO,26,131,6
H MUCCINI,31,115,7
M MARATEA,31,94,4
M MICULAN,28,31,3
M MICULAN,28,31,3
M MARCHESE,13,31,3
M MARCHIORI,12,11,1
M MARCHIORI,12,11,1
R MARTOGLIA,20,26,3
R MEO,18,57,5
A NAVARRA,46,192,8
A DAL PALÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢,17,34,3
A PIERANTONIO,21,77,5
C PIAZZA,34,78,6
C PIAZZA,34,78,6
C PIZZUTI,32,115,7
C PIZZUTI,32,115,7
G PRENCIPE,19,390,10
N PISANTI,20,68,5
N PISANTI,20,68,5
P PAPOTTI,24,128,7
P PAPOTTI,24,128,7
P PELLICCIONE,25,96,6
R PEREGO,33,248,8
R PUGLIESE,40,213,8
B RE,9,32,3
B RUSSO,16,55,4
D DI RUSCIO,20,62,4
D REFORGIATO,23,58,3
D REFORGIATO,23,58,3
F RICCA,24,80,4
S ROMBO,18,91,6
S ROSSI,22,30,4
A SILLITTI,18,142,8
C SANTORO,19,59,3
C SANTORO,19,59,3
C SANTORO,19,59,3
F SILVESTRI,25,159,8
G SANTUCCI,36,189,8
G SANTUCCI,36,189,8
M SCHOLZ,6,360,4
U STRACCIA,35,616,14
G TERRACINA,27,82,6
I TINNIRELLO,23,58,5
M TIVOLI,15,87,5
P TORRONI,32,132,7
P TRUNFIO,29,255,9
S TONETTA,17,68,4
A VITALETTI,17,59,5
P VELTRI,39,164,7
P VELTRI,39,164,7
Y VELEGRAKIS,28,125,7
M ZANCANARO,23,264,10
A POZZER,55,1227,19
A TERMANINI,12,408,8
P VELTRI,39,164,7
P VELTRI,39,164,7
Y VELEGRAKIS,28,125,7
M ZANCANARO,23,264,10
A POZZER,55,1227,19
A TERMANINI,12,408,8
A TERMANINI,12,408,8
D CRICCHIO,10,21,3
A MARI,32,103,5
A MARI,32,103,5
E MALUCELLI,27,283,10
S FORTUNA,15,92,6
G PELLICANE,20,91,7
G PELLICANE,20,91,7
