doi,subjects
10.1002/cpe.4527,"Theoretical Computer Science, Computer Networks and Communications, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1016/j.future.2018.11.015,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1504/IJCSE.2018.10012838,"Modelling and Simulation, Hardware and Architecture, Computational Theory and Mathematics, Software, Computational Mathematics"
10.1007/s10766-018-0565-y,"Theoretical Computer Science, Software, Information Systems"
10.1016/j.future.2018.08.047,"Computer Networks and Communications, Hardware and Architecture, Software"
10.1080/0952813021000039430,"Theoretical Computer Science, Software, Artificial Intelligence"
10.1080/0952813021000039430,"Theoretical Computer Science, Software, Artificial Intelligence"
10.1080/0952813021000039430,"Theoretical Computer Science, Software, Artificial Intelligence"
10.1007/s11263-013-0692-2,"Software, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1006/csla.1997.0038,"Theoretical Computer Science, Human-Computer Interaction, Software"
10.1016/j.jss.2013.07.009,"Hardware and Architecture, Software, Information Systems"
10.1016/j.dam.2013.11.018,"Applied Mathematics, Discrete Mathematics and Combinatorics"
10.1016/j.ejor.2013.10.018,"Management Science and Operations Research, Modelling and Simulation, Information Systems and Management"
10.1111/itor.12076,"Management of Technology and Innovation, Management Science and Operations Research, Strategy and Management, Business and International Management, Computer Science Applications"
10.1016/j.cor.2005.03.014,"Management Science and Operations Research, Modelling and Simulation, General Computer Science"
10.1016/j.dam.2013.02.013,"Applied Mathematics, Discrete Mathematics and Combinatorics"
10.1002/net.21519,"Computer Networks and Communications, Hardware and Architecture, Software, Information Systems"
10.1016/j.cor.2014.06.002,"Management Science and Operations Research, Modelling and Simulation, General Computer Science"
10.1016/j.ejor.2014.04.026,"Management Science and Operations Research, Modelling and Simulation, Information Systems and Management"
10.1002/net.21529,"Computer Networks and Communications, Hardware and Architecture, Software, Information Systems"
10.1007/s00530-013-0315-3,"Media Technology, Computer Networks and Communications, Hardware and Architecture, Software, Information Systems"
10.1007/s00138-013-0580-3,"Hardware and Architecture, Software, Computer Vision and Pattern Recognition, Computer Science Applications"
10.1109/TPAMI.2003.1233909,"Computational Theory and Mathematics, Software, Applied Mathematics, Artificial Intelligence, Computer Vision and Pattern Recognition"
10.1093/bioinformatics/btt307,"Statistics and Probability, Computational Theory and Mathematics, Biochemistry, Molecular Biology, Computational Mathematics, Computer Science Applications"
10.1186/s12859-018-2183-5,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/1471-2105-14-S7-S5,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/1471-2105-14-S7-S13,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/1471-2105-14-S7-S1,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/s12859-018-2484-8,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1016/j.jpdc.2013.04.008,"Theoretical Computer Science, Computer Networks and Communications, Hardware and Architecture, Software, Artificial Intelligence"
10.1016/j.jpdc.2013.04.008,"Theoretical Computer Science, Computer Networks and Communications, Hardware and Architecture, Software, Artificial Intelligence"
10.3233/FI-2018-1693,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2009-177,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2015-1260,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1109/TSMCB.2005.846671,"Control and Systems Engineering, Human-Computer Interaction, Electrical and Electronic Engineering, Software, Information Systems, General Medicine, Computer Science Applications"
10.3233/FI-2018-1693,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2009-177,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2015-1260,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1109/TSMCB.2005.846671,"Control and Systems Engineering, Human-Computer Interaction, Electrical and Electronic Engineering, Software, Information Systems, General Medicine, Computer Science Applications"
10.3233/FI-2018-1693,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2009-177,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.3233/FI-2015-1260,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1109/TSMCB.2005.846671,"Control and Systems Engineering, Human-Computer Interaction, Electrical and Electronic Engineering, Software, Information Systems, General Medicine, Computer Science Applications"
10.1109/TSC.2013.44,"Computer Networks and Communications, Hardware and Architecture, Information Systems and Management, Computer Science Applications"
10.1504/IJCAT.2018.10014725,"Computer Networks and Communications, Electrical and Electronic Engineering, Industrial and Manufacturing Engineering, Software, Information Systems, Computer Science Applications"
10.1080/00207721.2013.822940,"Control and Systems Engineering, Theoretical Computer Science, Computer Science Applications"
10.1002/spe.2586,Software
10.1002/spe.2609,Software
10.1109/MC.2018.1151016,General Computer Science
10.1109/TCC.2014.2310737,"Computer Networks and Communications, Hardware and Architecture, Software, Information Systems, Computer Science Applications"
10.1109/ACCESS.2018.2839915,"General Engineering, General Materials Science, General Computer Science"
10.1109/TC.2013.30,"Theoretical Computer Science, Hardware and Architecture, Computational Theory and Mathematics, Software"
10.1080/0144929X.2018.1436592,"Human-Computer Interaction, Arts and Humanities (miscellaneous), General Social Sciences, Developmental and Educational Psychology"
10.1108/JD-07-2017-0100,"Library and Information Sciences, Information Systems"
10.1145/2448116.2448120,"Human-Computer Interaction, Artificial Intelligence"
10.4018/IJMHCI.2018010104,Human-Computer Interaction
10.1080/10447318.2018.1461760,"Human-Computer Interaction, Human Factors and Ergonomics, Computer Science Applications"
10.1016/j.engappai.2018.10.014,"Control and Systems Engineering, Electrical and Electronic Engineering, Artificial Intelligence"
10.1007/s11277-014-1683-5,"Electrical and Electronic Engineering, Computer Science Applications"
10.1109/TWC.2013.121813.130993,"Electrical and Electronic Engineering, Applied Mathematics, Computer Science Applications"
10.1006/jagm.1999.1016,"Computational Theory and Mathematics, Control and Optimization, Computational Mathematics"
10.1016/S0304-3975(99)00324-2,"Theoretical Computer Science, General Computer Science"
10.1016/j.tcs.2005.05.016,"Theoretical Computer Science, General Computer Science"
10.3233/FI-2017-1552,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
10.1007/BF02944780,"Theoretical Computer Science, Hardware and Architecture, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1186/s12859-018-2253-8,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1186/s12859-018-2436-3,"Biochemistry, Applied Mathematics, Molecular Biology, Structural Biology, Computer Science Applications"
10.1007/BF02945456,"Theoretical Computer Science, Hardware and Architecture, Computational Theory and Mathematics, Software, Computer Science Applications"
10.1089/cmb.2013.0112,"Modelling and Simulation, Computational Theory and Mathematics, Genetics, Molecular Biology, Computational Mathematics"
10.1006/jagm.1999.1016,"Computational Theory and Mathematics, Control and Optimization, Computational Mathematics"
10.1016/S0304-3975(99)00324-2,"Theoretical Computer Science, General Computer Science"
10.1016/j.tcs.2005.05.016,"Theoretical Computer Science, General Computer Science"
10.3233/FI-2017-1552,"Theoretical Computer Science, Computational Theory and Mathematics, Algebra and Number Theory, Information Systems"
